Titlu,Autor,Topic,Temă,Tema1,Tema2,Tema3,Scor
provincial_sadness,ramona_boldiszar,2,identity & otherness,identity & otherness,mundane & daily life,love & intimacy,100
i_am_here,ioana_nicolaie,7,digital realities & posthumanism,interconnected structures,digital realities & posthumanism,philosophical & ontological inquiry,100
retragerea,elena_vladareanu,3,love & intimacy,digital realities & posthumanism,love & intimacy,interconnected structures,100
minunata lume disney,elena_vladareanu,7,digital realities & posthumanism,interconnected structures,digital realities & posthumanism,love & intimacy,100
ce se ascunde sub piele,elena_vladareanu,1,mundane & daily life,self-referentiality (ars poetica),philosophical & ontological inquiry,interconnected structures,0
de la tine,elena_vladareanu,6,eco-consciousness,love & intimacy,interconnected structures,identity & otherness,0
bani. muncă. timp liber [fragmente],elena_vladareanu,4,self-referentiality (ars poetica),digital realities & posthumanism,self-referentiality (ars poetica),interconnected structures,100
party,elena_vladareanu,5,interconnected structures,eco-consciousness,digital realities & posthumanism,identity & otherness,0
ciupercile bune:ciupercile otrăvitoare,dumitru_crudu,7,digital realities & posthumanism,eco-consciousness,philosophical & ontological inquiry,mundane & daily life,0
amestecam vodcă nemțească,dumitru_crudu,1,mundane & daily life,love & intimacy,mundane & daily life,philosophical & ontological inquiry,100
într-un sat de pe graniță,dumitru_crudu,1,mundane & daily life,love & intimacy,mundane & daily life,digital realities & posthumanism,100
mătușa mea eugenia,dumitru_crudu,0,philosophical & ontological inquiry,love & intimacy,mundane & daily life,digital realities & posthumanism,0
azi,dumitru_crudu,0,philosophical & ontological inquiry,digital realities & posthumanism,love & intimacy,interconnected structures,0
camera vecină,dumitru_crudu,1,mundane & daily life,mundane & daily life,digital realities & posthumanism,love & intimacy,100
vaci ale domnului,dumitru_crudu,1,mundane & daily life,philosophical & ontological inquiry,digital realities & posthumanism,love & intimacy,0
***,vlad_dragoi,7,digital realities & posthumanism,mundane & daily life,philosophical & ontological inquiry,interconnected structures,0
cu ce citim poezia...,nora_iuga,1,mundane & daily life,self-referentiality (ars poetica),interconnected structures,philosophical & ontological inquiry,0
nu mai știu,nora_iuga,5,interconnected structures,love & intimacy,identity & otherness,mundane & daily life,0
cal aș fi vrut să fiu,nora_iuga,0,philosophical & ontological inquiry,interconnected structures,identity & otherness,philosophical & ontological inquiry,100
căldură și structură,anastasia_gavrilovici,1,mundane & daily life,love & intimacy,identity & otherness,mundane & daily life,100
anita alvarez,anastasia_gavrilovici,5,interconnected structures,identity & otherness,digital realities & posthumanism,philosophical & ontological inquiry,0
de dimineaţă în cap începe măcelul,anastasia_gavrilovici,5,interconnected structures,love & intimacy,identity & otherness,interconnected structures,100
aici,anastasia_gavrilovici,0,philosophical & ontological inquiry,eco-consciousness,digital realities & posthumanism,philosophical & ontological inquiry,100
"la sfârșitul zilei, inima mea",anastasia_gavrilovici,1,mundane & daily life,identity & otherness,digital realities & posthumanism,eco-consciousness,0
tristețea cefalopodelor,anastasia_gavrilovici,0,philosophical & ontological inquiry,love & intimacy,identity & otherness,interconnected structures,0
avionașe de hârtie,anastasia_gavrilovici,2,identity & otherness,love & intimacy,identity & otherness,mundane & daily life,100
